,edges,metagrad,attacker_accuracy_before,attacker_accuracy_after,eval_accuracy_before,eval_accuracy_after,attacker_loss_before,attacker_loss_after,eval_loss_before,eval_loss_after
20,73776,2.6093455289810663e-06,0.4997749924659729,0.49982500076293945,0.49768999218940735,0.4976947605609894,0.7025171518325806,0.7024877667427063,4.010765552520752,4.010834693908691
21,26618,2.6053428427985637e-06,0.49976998567581177,0.4998224973678589,0.4976849853992462,0.4976922571659088,0.7025198340415955,0.7024890184402466,4.0107831954956055,4.010854721069336
22,18070,2.603234179332503e-06,0.49976497888565063,0.4998199939727783,0.4976799786090851,0.49768975377082825,0.7025223970413208,0.7024901509284973,4.0108442306518555,4.010875225067139
23,108107,2.6006816824519774e-06,0.4997600018978119,0.49981749057769775,0.4976849853992462,0.4976922273635864,0.7025249600410461,0.7024914026260376,4.010794162750244,4.010845184326172
24,115626,2.60039314525784e-06,0.49975499510765076,0.4998149871826172,0.4976799786090851,0.49768972396850586,0.702527642250061,0.7024925947189331,4.010812282562256,4.010865211486816
25,8305,2.5988181278080447e-06,0.4997499883174896,0.4998124837875366,0.4976849853992462,0.4976922273635864,0.7025302052497864,0.7024937868118286,4.010777473449707,4.010849475860596
26,99290,2.5981341877923114e-06,0.4997449815273285,0.49980998039245605,0.4976799786090851,0.49768969416618347,0.7025327682495117,0.7024949193000793,4.010812282562256,4.01086950302124
27,161829,2.595818386907922e-06,0.49973997473716736,0.4998074769973755,0.49767500162124634,0.4976871907711029,0.7025354504585266,0.7024961113929749,4.010814189910889,4.010887145996094
28,73192,2.594436864455929e-06,0.4997349977493286,0.4998049736022949,0.4976799786090851,0.49768969416618347,0.702538013458252,0.7024972438812256,4.010787487030029,4.010880947113037
29,8125,2.5939871193259023e-06,0.4997299909591675,0.49980247020721436,0.4976849853992462,0.49769216775894165,0.7025406360626221,0.7024984359741211,4.010776042938232,4.010889053344727
30,155062,2.5929007279046346e-06,0.49972498416900635,0.4997999668121338,0.4976799786090851,0.4976896643638611,0.7025431990623474,0.7024996280670166,4.010797500610352,4.010909080505371
31,66060,2.5917838684108574e-06,0.4997199773788452,0.4997974932193756,0.49767500162124634,0.4976871609687805,0.7025457620620728,0.7025007605552673,4.010799884796143,4.010926723480225
32,149506,2.5910949261742644e-06,0.49971500039100647,0.49979498982429504,0.4976799786090851,0.4976896345615387,0.7025484442710876,0.7025019526481628,4.010787010192871,4.010934352874756
33,86306,2.590179065009579e-06,0.49970999360084534,0.4997924864292145,0.49767500162124634,0.49768713116645813,0.702551007270813,0.7025031447410583,4.0108137130737305,4.0109543800354
34,45166,2.587609515103395e-06,0.4997049868106842,0.4997899830341339,0.4976799786090851,0.4976896047592163,0.7025535702705383,0.7025043368339539,4.010787010192871,4.010946750640869
35,139969,2.5837684916041326e-06,0.49969998002052307,0.49978747963905334,0.49767500162124634,0.49768710136413574,0.7025561332702637,0.7025054693222046,4.01084566116333,4.010967254638672
36,44221,2.5828480829659384e-06,0.49969497323036194,0.4997849762439728,0.4976699948310852,0.4976845979690552,0.7025587558746338,0.7025067210197449,4.010858535766602,4.010987281799316
37,56422,2.5805945824686205e-06,0.4996899962425232,0.4997824728488922,0.4976649880409241,0.4976820945739746,0.7025613188743591,0.7025078535079956,4.010860919952393,4.011004447937012
38,159763,2.578913154138718e-06,0.49968498945236206,0.49977996945381165,0.4976699948310852,0.4976845681667328,0.7025638818740845,0.7025090456008911,4.01084041595459,4.0110039710998535
39,82642,2.575127382442588e-06,0.4996799826622009,0.4997774660587311,0.4976649880409241,0.4976820647716522,0.7025664448738098,0.7025101184844971,4.01087760925293,4.01102352142334
40,129376,2.5721758447616594e-06,0.4996749758720398,0.4997749626636505,0.49765998125076294,0.49767956137657166,0.7025690674781799,0.7025113701820374,4.010919094085693,4.011044025421143
41,69995,2.569011030573165e-06,0.49966999888420105,0.49977245926856995,0.4976649880409241,0.49768203496932983,0.7025715708732605,0.7025126218795776,4.0108962059021,4.011041164398193
42,43831,2.5689025733299786e-06,0.4996649920940399,0.4997699558734894,0.49765998125076294,0.49767953157424927,0.7025741934776306,0.7025136947631836,4.010904788970947,4.01106071472168
43,85818,2.56860062108899e-06,0.4996599853038788,0.4997674524784088,0.4976549744606018,0.4976769983768463,0.7025766968727112,0.7025148868560791,4.010931015014648,4.011080741882324
44,180614,2.568138370406814e-06,0.49965497851371765,0.49976494908332825,0.49764999747276306,0.49767449498176575,0.7025792598724365,0.7025160789489746,4.010988712310791,4.0111002922058105
45,85631,2.5660717710707104e-06,0.4996500015258789,0.4997624456882477,0.4976549744606018,0.4976769983768463,0.7025818824768066,0.7025172114372253,4.010961055755615,4.0110931396484375
46,114022,2.5655167519289535e-06,0.4996449947357178,0.4997599422931671,0.49764999747276306,0.49767446517944336,0.702584445476532,0.7025184035301208,4.010984897613525,4.011113166809082
47,68548,2.5650131192378467e-06,0.49963998794555664,0.49975746870040894,0.4976549744606018,0.4976769685745239,0.7025870084762573,0.7025195360183716,4.010929107666016,4.011077404022217
48,67580,2.5642777927714633e-06,0.4996349811553955,0.49975496530532837,0.49764999747276306,0.49767446517944336,0.7025895714759827,0.7025206685066223,4.010953426361084,4.011097431182861
49,160114,2.5637750695750583e-06,0.4996299743652344,0.4997524619102478,0.4976549744606018,0.49767693877220154,0.7025921940803528,0.7025219202041626,4.010941505432129,4.011105060577393
50,94072,2.563438329161727e-06,0.49962499737739563,0.49974995851516724,0.49764999747276306,0.49767443537712097,0.7025946974754333,0.7025230526924133,4.010941982269287,4.011122226715088
51,123895,2.562776671766187e-06,0.4996199905872345,0.49974745512008667,0.49764499068260193,0.4976719319820404,0.7025973200798035,0.7025242447853088,4.010951042175293,4.011141300201416
52,77179,2.5622875909903087e-06,0.49961498379707336,0.4997449517250061,0.49764999747276306,0.4976744055747986,0.702599823474884,0.7025253772735596,4.010944366455078,4.011153221130371
53,49043,2.559479071351234e-06,0.49960997700691223,0.49974244832992554,0.49764499068260193,0.497671902179718,0.7026023864746094,0.7025265097618103,4.010992527008057,4.011173248291016
54,28450,2.558873802627204e-06,0.4996050000190735,0.49973994493484497,0.4976399838924408,0.49766936898231506,0.7026050090789795,0.7025277614593506,4.011023044586182,4.01119327545166
55,44944,2.557609832365415e-06,0.49959999322891235,0.4997374415397644,0.49763497710227966,0.4976668655872345,0.7026074528694153,0.7025288343429565,4.011035442352295,4.011213302612305
56,149869,2.5558679226378445e-06,0.4995949864387512,0.49973493814468384,0.4976399838924408,0.49766936898231506,0.7026101350784302,0.702530026435852,4.011019706726074,4.01121711730957
57,4151,2.554461616455228e-06,0.4995899796485901,0.49973243474960327,0.49764499068260193,0.49767184257507324,0.7026126384735107,0.7025311589241028,4.0110015869140625,4.011219024658203
58,60747,2.551119905547239e-06,0.49958497285842896,0.4997299313545227,0.49764999747276306,0.4976743459701538,0.7026151418685913,0.7025323510169983,4.010958194732666,4.011195182800293
59,43730,2.5484055186097976e-06,0.4995799958705902,0.49972742795944214,0.49764499068260193,0.49767181277275085,0.7026178240776062,0.702533483505249,4.010989665985107,4.011214733123779
60,46542,2.5480037493252894e-06,0.4995749890804291,0.4997249245643616,0.49764999747276306,0.4976743161678314,0.702620267868042,0.7025346755981445,4.0109171867370605,4.011162281036377
61,33286,2.5452388854318997e-06,0.49956998229026794,0.499722421169281,0.49764499068260193,0.49767181277275085,0.7026228904724121,0.70253586769104,4.010950565338135,4.0111823081970215
62,33906,2.5440599529247265e-06,0.4995649755001068,0.49971991777420044,0.4976399838924408,0.4976692795753479,0.7026254534721375,0.7025370001792908,4.010998725891113,4.011202812194824
63,45153,2.5432595975871664e-06,0.49955999851226807,0.4997174143791199,0.49764499068260193,0.49767178297042847,0.702627956867218,0.7025381922721863,4.010996341705322,4.01121711730957
64,173250,2.5431293124711374e-06,0.49955499172210693,0.4997149109840393,0.49764999747276306,0.49767425656318665,0.7026304602622986,0.702539324760437,4.010990619659424,4.01123046875
65,14329,2.540234845582745e-06,0.4995499849319458,0.49971240758895874,0.49764499068260193,0.4976717531681061,0.7026330232620239,0.7025405168533325,4.011009216308594,4.011250972747803
66,78629,2.5337615170428762e-06,0.49954497814178467,0.4997099041938782,0.4976399838924408,0.4976692497730255,0.7026355862617493,0.702541708946228,4.0110297203063965,4.011270523071289
67,83210,2.5311869649158325e-06,0.4995400011539459,0.4997074007987976,0.49763497710227966,0.49766671657562256,0.7026380896568298,0.702542781829834,4.011049747467041,4.011290550231934
68,122687,2.5306826501036994e-06,0.4995349943637848,0.49970489740371704,0.4976300001144409,0.497664213180542,0.7026405930519104,0.7025438547134399,4.011119365692139,4.011310577392578
69,21758,2.52874906436773e-06,0.49952998757362366,0.4997023940086365,0.4976249933242798,0.4976617097854614,0.702643096446991,0.7025451064109802,4.01113224029541,4.011330604553223
70,137444,2.527710648791981e-06,0.4995249807834625,0.4996998906135559,0.49761998653411865,0.49765917658805847,0.7026456594467163,0.7025462985038757,4.011155128479004,4.011350631713867
71,142681,2.5264571377192624e-06,0.4995199739933014,0.49969738721847534,0.4976249933242798,0.49766167998313904,0.7026481628417969,0.7025473713874817,4.011145114898682,4.011360168457031
72,75812,2.5259446374548133e-06,0.49951499700546265,0.4996948838233948,0.4976300001144409,0.4976641535758972,0.702650785446167,0.7025485634803772,4.0110859870910645,4.011321067810059
73,199187,2.518302380849491e-06,0.4995099902153015,0.4996923804283142,0.49763497710227966,0.4976666569709778,0.7026532888412476,0.7025496959686279,4.011026859283447,4.011282920837402
74,48670,2.518116161809303e-06,0.4995049834251404,0.49968987703323364,0.4976399838924408,0.49766913056373596,0.7026557922363281,0.7025508880615234,4.011003494262695,4.011279106140137
75,59261,2.5153874503303086e-06,0.49949997663497925,0.4996873736381531,0.49764499068260193,0.49767163395881653,0.7026583552360535,0.7025519609451294,4.010959625244141,4.011254787445068
76,106059,2.512686705813394e-06,0.4994949996471405,0.4996848702430725,0.4976399838924408,0.4976691007614136,0.702660858631134,0.7025531530380249,4.010976314544678,4.011274814605713
77,121348,2.5120057216554414e-06,0.49948999285697937,0.49968236684799194,0.49763497710227966,0.497666597366333,0.7026633620262146,0.7025542855262756,4.010998725891113,4.011294841766357
78,131597,2.5102995095949154e-06,0.49948498606681824,0.4996798634529114,0.4976300001144409,0.49766409397125244,0.7026658654212952,0.7025554776191711,4.011082172393799,4.011314868927002
79,135270,2.5087897483899724e-06,0.4994799792766571,0.4996773600578308,0.49763497710227966,0.4976665675640106,0.7026683688163757,0.7025565505027771,4.011059761047363,4.011312484741211
80,146000,2.5044284939212957e-06,0.49947497248649597,0.49967485666275024,0.4976300001144409,0.49766406416893005,0.7026708126068115,0.7025577425956726,4.0111565589904785,4.0113325119018555
81,191344,2.502897359590861e-06,0.4994699954986572,0.4996723532676697,0.4976249933242798,0.4976615607738495,0.7026733160018921,0.7025588750839233,4.011209487915039,4.0113525390625
82,19127,2.5027202354976907e-06,0.4994649887084961,0.4996698498725891,0.49761998653411865,0.49765902757644653,0.7026758193969727,0.7025600671768188,4.011240005493164,4.0113725662231445
83,187298,2.5015376650117105e-06,0.49945998191833496,0.49966734647750854,0.4976249933242798,0.4976615309715271,0.7026783227920532,0.7025612592697144,4.011203765869141,4.011355876922607
84,140120,2.501516291886219e-06,0.49945497512817383,0.499664843082428,0.49761998653411865,0.49765899777412415,0.7026808261871338,0.7025623321533203,4.011208534240723,4.011373996734619
85,18167,2.499899892427493e-06,0.4994499981403351,0.4996623396873474,0.4976149797439575,0.4976564943790436,0.7026834487915039,0.7025634050369263,4.0112528800964355,4.01139497756958
86,72043,2.4990661131596426e-06,0.49944499135017395,0.49965983629226685,0.49761998653411865,0.49765899777412415,0.7026858925819397,0.7025645971298218,4.011203765869141,4.0113654136657715
87,76159,2.498076810297789e-06,0.4994399845600128,0.4996573328971863,0.4976249933242798,0.4976614713668823,0.7026883959770203,0.7025657296180725,4.011162281036377,4.011343955993652
88,160495,2.4975743144750595e-06,0.4994349777698517,0.4996548295021057,0.49761998653411865,0.49765896797180176,0.7026908993721008,0.702566921710968,4.01117467880249,4.011363506317139
89,13887,2.4934349767136155e-06,0.49943000078201294,0.49965232610702515,0.4976249933242798,0.49766144156455994,0.7026934027671814,0.7025679349899292,4.01113224029541,4.011341094970703
90,106253,2.4928501716203755e-06,0.4994249939918518,0.4996498227119446,0.49761998653411865,0.49765893816947937,0.702695906162262,0.7025691866874695,4.011173248291016,4.011361122131348
91,55073,2.4915814265114022e-06,0.4994199872016907,0.499647319316864,0.4976249933242798,0.49766141176223755,0.7026983499526978,0.7025702595710754,4.0106730461120605,4.010880947113037
92,75705,2.491186705810833e-06,0.49941498041152954,0.49964481592178345,0.49761998653411865,0.497658908367157,0.7027008533477783,0.702571451663971,4.0107035636901855,4.010900974273682
93,120454,2.4907685656216927e-06,0.4994099736213684,0.4996423125267029,0.4976149797439575,0.4976564049720764,0.7027033567428589,0.7025725841522217,4.010737419128418,4.010921001434326
94,4353,2.4898665742512094e-06,0.49940499663352966,0.4996398091316223,0.4976099729537964,0.49765387177467346,0.7027058601379395,0.7025737166404724,4.010782241821289,4.010941028594971
95,36432,2.4883122478058795e-06,0.49939998984336853,0.49963730573654175,0.4976149797439575,0.49765637516975403,0.7027082443237305,0.7025748491287231,4.010765075683594,4.01094388961792
96,91881,2.4880325781850843e-06,0.4993949830532074,0.4996348023414612,0.4976099729537964,0.4976538419723511,0.702710747718811,0.7025759816169739,4.010812759399414,4.0109639167785645
97,177870,2.4879116153897485e-06,0.49938997626304626,0.4996322989463806,0.49760499596595764,0.4976513385772705,0.7027132511138916,0.7025771141052246,4.0108513832092285,4.010984420776367
98,199638,2.487806114004343e-06,0.4993849992752075,0.49962982535362244,0.4976099729537964,0.49765387177467346,0.7027157545089722,0.7025783061981201,4.010814189910889,4.01096773147583
99,102054,2.4875419057934778e-06,0.4993799924850464,0.49962732195854187,0.4976149797439575,0.49765634536743164,0.7027182579040527,0.7025794386863708,4.01077938079834,4.010952472686768
100,92172,2.487402525730431e-06,0.49937498569488525,0.4996248185634613,0.49761998653411865,0.4976588487625122,0.7027207612991333,0.7025805115699768,4.010759353637695,4.010952949523926
101,163666,2.485810227881302e-06,0.4993699789047241,0.49962231516838074,0.4976249933242798,0.4976613223552704,0.7027232646942139,0.7025817632675171,4.010725498199463,4.01093864440918
