,edges,metagrad,accuracy
61,54824,9.330211469205096e-05,0.8616099953651428
62,24437,9.336181392427534e-05,0.861644983291626
63,190801,9.310607856605202e-05,0.8616299629211426
64,138330,9.306807623943314e-05,0.8616299629211426
65,37409,9.263760148314759e-05,0.8616549968719482
66,183380,9.262357343686745e-05,0.8616849780082703
67,32615,9.24662163015455e-05,0.861615002155304
68,32711,9.239723294740543e-05,0.8616249561309814
69,73278,9.237549238605425e-05,0.8615899682044983
70,121598,9.222699009114876e-05,0.8615750074386597
71,196620,9.211542055709288e-05,0.8615949749946594
72,64535,9.207740367855877e-05,0.8615599870681763
73,76460,9.193792357109487e-05,0.861579954624176
74,143146,9.167001553578302e-05,0.8615649938583374
75,159751,9.23969637369737e-05,0.861519992351532
76,59437,9.142417547991499e-05,0.8614799976348877
77,138473,9.134694846579805e-05,0.8614850044250488
78,171695,9.105771459871903e-05,0.8614349961280823
79,172234,9.101434261538088e-05,0.861454963684082
80,64539,9.082879114430398e-05,0.8614449501037598
81,9187,9.07799112610519e-05,0.861395001411438
82,3942,9.077445429284126e-05,0.8613550066947937
83,35789,9.060754382517189e-05,0.861329972743988
84,114010,9.044274338521063e-05,0.8613349795341492
85,81053,9.028305066749454e-05,0.8613249659538269
86,1595,9.001861326396465e-05,0.8613599538803101
87,94875,8.995072857942432e-05,0.8613349795341492
88,101639,8.98391954251565e-05,0.8613599538803101
89,21028,8.983718726085499e-05,0.8613699674606323
90,149739,8.982552390079945e-05,0.8613649606704712
91,184621,8.96756537258625e-05,0.8613599538803101
92,121037,8.963065920397639e-05,0.8613349795341492
93,68688,8.955191151471809e-05,0.8613550066947937
94,4761,8.951126073952764e-05,0.8614199757575989
95,136253,8.904624701244757e-05,0.861395001411438
96,127743,8.87224159669131e-05,0.8614049553871155
97,178080,8.870675810612738e-05,0.8614149689674377
98,3844,8.850315498420969e-05,0.8614099621772766
99,36134,8.840613008942455e-05,0.8614449501037598
100,70276,8.840182999847457e-05,0.861454963684082
101,83599,8.838486246531829e-05,0.8614099621772766
102,76339,8.825004624668509e-05,0.861454963684082
103,123363,8.818852802505717e-05,0.8614449501037598
104,164382,8.772045111982152e-05,0.8614499568939209
105,137426,8.771865395829082e-05,0.861454963684082
106,50949,8.769942360231653e-05,0.8614449501037598
107,168255,8.767994586378336e-05,0.8614649772644043
108,166071,8.762675861362368e-05,0.86142498254776
109,22857,8.759553747950122e-05,0.861395001411438
110,188532,8.744264050619677e-05,0.861395001411438
111,199754,8.739410259295255e-05,0.8613749742507935
112,41432,8.733150025364012e-05,0.8613649606704712
113,55561,8.721933409105986e-05,0.8613049983978271
114,196054,8.71493321028538e-05,0.8613049983978271
115,9728,8.707500091986731e-05,0.8612849712371826
116,73901,8.701818296685815e-05,0.8612899780273438
117,116837,8.684161730343476e-05,0.8612899780273438
118,94639,8.680626342538744e-05,0.8612650036811829
119,64602,8.679041638970375e-05,0.8612699508666992
120,110910,8.678678568685427e-05,0.8612399697303772
121,33138,8.66212067194283e-05,0.8612099885940552
122,6096,8.653010445414111e-05,0.8612099885940552
123,158118,8.644424087833613e-05,0.8611649870872498
124,191750,8.63187451614067e-05,0.8611599802970886
125,148877,8.608168718637899e-05,0.8611199855804443
126,160489,8.581599104218185e-05,0.8610949516296387
127,181185,8.547994366381317e-05,0.8610900044441223
128,150721,8.532973151886836e-05,0.8610900044441223
129,159128,8.526637975592166e-05,0.8611049652099609
130,188123,8.518998947693035e-05,0.8611049652099609
131,128014,8.519025868736207e-05,0.8611149787902832
132,45108,8.516162779415026e-05,0.8611099720001221
133,158436,8.511747000738978e-05,0.861009955406189
134,126285,8.510953921359032e-05,0.8609849810600281
135,199380,8.460757089778781e-05,0.8609699606895447
136,181471,8.455204806523398e-05,0.8609600067138672
137,185341,8.455647912342101e-05,0.860954999923706
138,34598,8.45209215185605e-05,0.8609799742698669
139,3707,8.446034189546481e-05,0.8609600067138672
140,17470,8.443764818366617e-05,0.8609199523925781
141,181840,8.416479249717668e-05,0.860884964466095
142,57469,8.41631117509678e-05,0.8609049916267395
143,151759,8.407358109252527e-05,0.8608700037002563
144,12505,8.396367775276303e-05,0.8608749508857727
145,70613,8.393579628318548e-05,0.8608049750328064
146,106390,8.393028110731393e-05,0.8608199954032898
147,65789,8.362787048099563e-05,0.860789954662323
148,185813,8.358335617231205e-05,0.8607999682426453
149,93035,8.350957068614662e-05,0.8607549667358398
